id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
1,155 belmont,Alcoholic,cocktail,white wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"['orange juice','vodka','light rum','dark rum']","['1 shot','1 shot','2 shots','1 shot']","The 155 Belmont belongs to the?Rum Punch?family. It��s a modern twist on classic Caribbean cocktails, incorporating vodka for a contemporary edge. Its precise origin is unknown, but the combination of rums and orange juice suggests a playful homage to the sun-drenched islands.","The vibrant orange-yellow cocktail is served over ice in a highball glass, creating a refreshing and sunny visual appeal. A long straw adds a traditional touch, making it perfect for sipping while enjoying the vibrant lights in the background."
2,110 in the shade,Alcoholic,beer,beer glass,Drop shooter in glass. Fill with beer,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"['tequila','lager']","['1.5 oz','16 oz']","110 in the Shade is a unique blend of beer and tequila, falling into the Highball cocktail family. Its origin remains shrouded in mystery, but the combination likely emerged from the desire to mix traditional Mexican flavors with a refreshing, thirst-quenching beer base.","The cocktail is served in a glass wrapped with white string, filled with a pale yellow liquid that appears bubbly and refreshing, complemented by a sprig of fresh mint for garnish."
3,151 florida bushwacker,Alcoholic,milk / float / shake,beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"['vanilla ice-cream','coconut liqueur','milk','cointreau','dark creme de cacao','151 proof rum','light rum','malibu rum']","['1 cup','1 oz','3 oz','1 oz','1 oz','1/2 oz bacardi','1/2 oz','1/2 oz']","The 151 Florida Bushwacker belongs to the?creamy cocktail family, a descendant of the?Hurricane, born in the?1970s in Florida. Its potent blend of rums, liqueurs, and dairy creates a sweet, decadent, and dangerously smooth experience.","The drink is presented in a clear glass with intricate chocolate swirls on its exterior. The creamy, light brown beverage is topped with a generous sprinkle of dark chocolate shavings, adding texture and a rich contrast to the frothy top."
4,252,Alcoholic,shot,shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"['wild turkey','151 proof rum']","['1/2 shot','1/2 shot bacardi']","Pour both ingredients into a shot glass in equal parts, and serve.","The cocktail features a warm golden hue, suggesting a spirit-based drink, served in a classic rocks glass which adds an elegant touch to its presentation. A single ice cube gently sits on top, allowing for minimal mixing and showcasing the clarity of the beverage."
5,24k nightmare,Alcoholic,shot,shot glass,"Add over ice,shake and pour.",https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"['151 proof rum','rumple minze','jgermeister','goldschlager']","['1/2 oz bacardi','1/2 oz','1/2 oz','1/2 oz'] ","The 24k Nightmare shot is a potent member of the layered shooter family, known for its strong, bold flavors. This intense drink combines Goldschl_ger��s cinnamon heat, J_germeister��s herbal complexity, Rumple Minze��s peppermint chill, and Bacardi 151��s high-proof kick. It likely emerged in the modern bar scene, catering to thrill-seekers looking for a powerful, memorable shot.","The cocktail is served in a small, thick glass mug with a clear amber hue, suggesting it may contain a spirit like rum or brandy. It appears to be unadorned, emphasizing its strength and simplicity."
6,3 wise men,Alcoholic,shot,collins glass,put them them in a glass... and slam it to tha head.,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"['jim beam','johnnie walker','jack daniels']","['1/3 oz','1/3 oz','1/3 oz']","Three wise men is a drink consisting of three types of whiskey with brand names that are each named after a man (ordinarily Johnnie Walker, Jack Daniel and Jim Beam). The three named men are the ""wise men"" in the name of the drink, which is an allusion to the Biblical Magi. Several variations exist that include other ingredients or substitute tequila or rum for some of the whiskey.","The golden-hued drink is served in a rocks glass with two large ice cubes, ready for a classic old-fashioned cocktail."
7,3-mile long island iced tea,Alcoholic,ordinary drink,collins glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"['london dry gin','puerto rican rum','triple sec','vodka','sour mix','coca cola','bittercube blackstrap bitters']","['0.5oz','0.5oz','0.5oz','0.5oz','1 oz','1 oz','2 dashes']","The 3-Mile Long Island Iced Tea is a potent member of the Long Island Iced Tea family, known for its multiple spirits. Originating in the 1970s, this cocktail��s name likely refers to its ability to make a long journey seem short, though its origins are debated.","The cocktail is presented in a highball glass filled with a dark amber liquid, dotted with ice cubes, and garnished with a fresh slice of lemon on the rim for a vibrant touch."
8,410 gone,Alcoholic,ordinary drink,collins glass,Mix together and enjoy,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"['coca-cola','peach vodka']","['to ones taste','2-3 oz'] ","410 Gone falls into the Highball family, a simple yet refreshing category. It��s likely a modern creation, combining the classic soda-and-spirit mix with the popularity of fruit-infused vodkas. The name, referencing an area code, suggests a regional or local origin.","The dark red beverage in the rocks glass is garnished with a twist of red chili pepper, adding a spicy hint to its appearance."
9,50/50,Alcoholic,ordinary drink,collins glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"['orange juice','grand marnier','vanilla vodka']","['fill with','1 splash','2 1/2 oz'] ","The 50/50 is a classic example of a?highball, a family of mixed drinks typically served in tall glasses with a base spirit and a mixer. Its origins likely lie in the early 20th century, where the popularity of citrus-based cocktails like the Screwdriver and Orange Blossom blossomed.","The cocktail features a vibrant orange liquid served in a classic martini glass, garnished with a lemon twist, creating a visually appealing presentation. The drink is perfectly chilled, highlighting its golden hue and the fresh citrus note."
10,501 blue,Alcoholic,ordinary drink,collins glass,Mix equal amounts into a glass with ice.,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"['7-up','sour mix','vodka','blueberry schnapps','blue curacao'] ","['dash','to ones taste','1 oz','1 oz','1 oz']","The 501 Blue is a vibrant member of the Sour family, a category known for its tart and refreshing nature. While its exact origin is unknown, its combination of sweet and tart flavors suggests a likely American invention, born from the desire for a colorful and exciting drink.","This refreshing cocktail is served in a tall highball glass filled with crushed ice, featuring a vibrant blue layer at the bottom and a lighter purple hue in the middle, creating a visually stunning ombre effect. A metallic straw and scattered blueberries add both functionality and a fresh touch to the drink."
11,57 chevy with a white license plate,Alcoholic,cocktail,highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"['vodka','creme de cacao']","['1 oz','1 oz white']","The 57 Chevy with a White License Plate is a delightful twist on the classic?Creme de Cacao cocktail family. Its origins are likely contemporary, drawing inspiration from the smooth, sweet-and-spicy flavor profile of its ancestors, while incorporating the modern preference for vodka��s clean, crisp finish.","The clear cocktail with ice cubes sits elegantly in a wide-rimmed, faceted glass, ideal for sipping and enjoying."
12,69 special,Alcoholic,ordinary drink,collins glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"['lemon juice','7-up','gin']","['0.75 oz','4 oz','2 oz dry']","The 69 Special belongs to the Highball family, characterized by their tall, mixed-drink format. Its origins are likely rooted in the early 20th century, a time when gin-based cocktails were popular and 7-Up emerged as a popular soda.","The cocktail is light yellow with a clear liquid, garnished with a fresh lemon slice on the rim of a classic rocks glass. Ice cubes float within, adding to its refreshing appearance."
13,747,Alcoholic,shot,shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"['frangelico','baileys irish cream','kahlua']","['1/3 part','1/3 part','1/3 part'] ","Pour carefully in a shot glass all the ingredients one by one in the order given,so that each liqueur will float on the preceeding one without mixing.","The cocktail features a rich brown color, beautifully garnished with a piece of caramel on a gold skewer, and is served in a clear, tall shot glass, showcasing its perfect portion size."
